economieattention,1,"Économie de l'attention","Système économique qui repose sur une forme spécifique de rareté : *l'attention*.
La capacité d'attention des individus est **limitée** tandis que la quantité d'informations auxquelles ils sont exposés est toujours plus importante. Dans ce contexte, en particulier sur Internet, l'attention devient un objet de convoitise pour de nombreuses entreprises."
economieechelle,1,"Economie d'échelle","Une économie d'échelle correspond à la **diminution du coût de réalisation** d'un produit obtenue après l'**augmentation de la production** de ce produit. Plus un produit est fabriqué, moins son coût unitaire est grand."
economieechelle,2,"Economie d'échelle","L'économie d'échelle est liée à la **vente d'échelles** aux particuliers et entreprises."
